orgcode,description,trust,country,emergency_adm,respiratory_adm,asthma_adm,admsperbed,respadmsperbed,asthmaadmsper1000adms,howmanypaediatr_icasthmapatients,doesyourhospita_ntscanbeadmitted,q1_2ahowmanybed_aediatrichduhave,q1_3doesyourhos_ntscanbeadmitted,q1_3ahowmanybedsdoesyourpicuhave,fy1fy2filledcat,fy1fy2filledwte,fy1fy2filledphr,fy1fy2filledpha,st1st2filledcat,st1st2filledwte,st1st2filledphr,st1st2filledpha,st3andabovefilledcat,st3andabovefilledwte,st3andabovefilledphr,st3andabovefilledpha,paediatricconsultantfilledcat,paediatricconsultantfilledwte,paediatricconsultantfilledphr,paediatricconsultantfilledpha,paediatricrespi_sultantfilledcat,paediatricrespi_sultantfilledwte,paediatricrespi_sultantfilledphr,paediatricrespi_sultantfilledpha,associatespecialistfilledcat,associatespecialistfilledwte,associatespecialistfilledphr,associatespecialistfilledpha,staffgradefilledcat,staffgradefilledwte,staffgradefilledphr,staffgradefilledpha,asthmanursespecialistfilledcat,asthmanursespecialistfilledwte,asthmanursespecialistfilledphr,asthmanursespecialistfilledpha,nurseconsultant_stnursefilledcat,nurseconsultant_stnursefilledwte,nurseconsultant_stnursefilledphr,nurseconsultant_stnursefilledpha,specialistrespi_erapistfilledcat,specialistrespi_erapistfilledwte,specialistrespi_erapistfilledphr,specialistrespi_erapistfilledpha,paediatricpsychologistfilledcat,paediatricpsychologistfilledwte,paediatricpsychologistfilledphr,paediatricpsychologistfilledpha,paediatricpharmacistfilledcat,paediatricpharmacistfilledwte,paediatricpharmacistfilledphr,paediatricpharmacistfilledpha,othernotlistedfilledcat,othernotlistedfilledwte,othernotlistedfilledphr,othernotlistedfilledpha,fy1fy2unfilledcat,fy1fy2unfilledwte,st1st2unfilledcat,st1st2unfilledwte,st3andaboveunfilledcat,st3andaboveunfilledwte,paediatricconsultantunfilledcat,paediatricconsultantunfilledwte,paediatricrespi_ltantunfilledcat,paediatricrespi_ltantunfilledwte,associatespecialistunfilledcat,associatespecialistunfilledwte,staffgradeunfilledcat,staffgradeunfilledwte,asthmanursespecialistunfilledcat,asthmanursespecialistunfilledwte,nurseconsultant_nurseunfilledcat,nurseconsultant_nurseunfilledwte,specialistrespi_rapisunfilledcat,specialistrespi_rapisunfilledwte,paediatricpsych_ogistunfilledcat,paediatricpsych_ogistunfilledwte,paediatricpharmacistunfilledcat,paediatricpharmacistunfilledwte,othernotlistedunfilledcat,othernotlistedunfilledwte,q3_1aroutinelyr_raboveonweekdays,q3_1broutinelyr_raboveonweekends,q3_2whichadmitt_respiratorynurse,q3_3accesstoano_mapatientsonsite,q3_3accesstoano_tientsonthephone,q3_3accesstoano_loutreachservice,q3_4isyourservi_ricasthmanetwork,q3_5designatedn_orasthmaservices,q3_5aisthisrolecurrentlyfilled,q3_5bistheasthm_paediatricasthma,q3_6doesyourhos_paediatricasthma,q3_6aifnotdoyou_ricasthmaservice,q3_7doesasthmal_lorsevereillness,q3_8smokingcess_ostparentscarers,q3_8apleaseletu_ionofthisservice,q3_9smokingcess_icasthmapatients,q3_9apleaseletu_ionofthisservice,q3_10doyouhavea_ntscanbereferred,q3_11canthepaed_icepostdischarge,q3_1doyouhaveac_tientsspirometry,q3_1doyouhaveac_xpiratoryflowpef,q3_1doyouhaveac_dnitricoxidefeno,q3_1doyouhaveac_ntsskinpricktest,q3_1doyouhaveac_thmapatientsnone,q4_1picuoutreac_vicedaysweekdays,q4_1picuoutreac_vicedaysweekends,q4_1picuoutreac_cedaysoutofhours,q4_1picuoutreac_ooutreachservice,q4_2seniordecis_dpaudaysweekdays,q4_2seniordecis_dpaudaysweekends,q4_2seniordecis_audaysoutofhours,q4_2seniordecis_roundpaudaysnone,q4_3seniordecis_ardsdaysweekdays,q4_3seniordecis_ardsdaysweekends,q4_3seniordecis_dsdaysoutofhours,q4_3seniordecis_ricwardsdaysnone,q4_4respiratory_entsdaysweekdays,q4_4respiratory_entsdaysweekends,q4_4respiratory_tsdaysoutofhours,q4_4respiratory_rynurseavailable,q5_1doesthepaed_trecordeprsystem,q5_2doesyourhos_tricoxygenpolicy,q5_3dothewardba_criptionofoxygen,q5_4doesyourhos_etectione_g_pews,q5_4a_ew_targeto2,q5_4a_ew_actualo2,q5_4adoesyourea_ygenadministered,q5_4adoesyourea_ednoneoftheabove,q5_4bearlywarni_echildyoungadult,q6_1doesyourtru_icasthmaservices,q6_1aifyesdoest_errepresentation,q6_2howoftenisa_rvicesundertaken,q7_1processfort_oftheircondition,q7_1processfort_entthesamerecord,q7_1processfort_eirparentscarers,q7_1processfort_rersareaddressed,q7_1processfort_dadultclinicians,q7_1processfort_intheadultsystem,q7_1processfort_totheadultsystem,q7_1processfort_tinuedevaluation,q7_1processfort_tionarrangements,q8_1howisreimbu_thasthmaachieved,q8_2hasyourcomm_iatricasthmacare
ADD,Addenbrooke's Hospital,Cambridge University Hospitals NHS Foundation Trust,England,-,-,-,-,-,-,40,Yes,5,Yes,8,>3.0 WTE,4,-,-,1.1-3.0 WTE,2,-,-,>3.0 WTE,23.6,-,-,>3.0 WTE,9.3,-,-,>3.0 WTE,3.8,-,-,0.1-1.0 WTE,1,-,-,0.1-1.0 WTE,1,-,-,1.1-3.0 WTE,1.6,-,-,0.1-1.0 WTE,1,-,-,0.1-1.0 WTE,1,-,-,1.1-3.0 WTE,1.4,-,-,>3.0 WTE,5.5,-,-,-,-,-,-,-,-,-,-,0.1-1.0 WTE,0.2,-,-,-,-,-,-,-,-,0.1-1.0 WTE,0.2,-,-,-,-,0.1-1.0 WTE,0.5,-,-,-,-,Daily,Daily,All paediatric asthma patients,No,Yes,No,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Not applicable - we have specialist advice on site,Yes,Community based team,No,-,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes - combined adult and paediatric policy,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,Never,No,No,Yes,Yes,Yes,No,No,Yes,No,Payment by results,No
AEI,Royal Albert Edward Infirmary,"Wrightington, Wigan and Leigh NHS Foundation Trust",England,400,35,10,20,2,25,20,Yes,2,No,,1.1-3.0 WTE,3,9,30,>3.0 WTE,6,17,60,>3.0 WTE,5,14,50,>3.0 WTE,10,29,100,1.1-3.0 WTE,2,6,20,>3.0 WTE,4,11,40,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,3,10,No WTE,0,0,0,No WTE,0,0.1-1.0 WTE,1,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Daily,None,Unticked,Unticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Community based team,Yes,Community based team,Not known,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,-,-,-,-,Yes,Not known,Yes,Yes,No,Yes,Yes,No,Yes,No,-,Less than once a year,Yes,Yes,No,Yes,No,No,No,No,No,Payment by results,No
AIR,Airedale General Hospital,Airedale NHS Foundation Trust,England,110,15,1-7,6,1,36,20,No,,No,,1.1-3.0 WTE,2,13,50,1.1-3.0 WTE,3,20,75,1.1-3.0 WTE,2,13,50,>3.0 WTE,5,30,113,No WTE,0,0,0,0.1-1.0 WTE,1,3,13,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,>3.0 WTE,5,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,None,Unticked,Unticked,Unticked,No,No lead,-,-,No,No,-,Yes,Community based team,Not known,-,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,-,-,-,-,Yes,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,No,No,-,Continuous (every patient),No,No,No,No,No,No,No,No,Yes,Payment via block contract,No
ALC,Royal Alexandra Children's Hospital,Brighton and Sussex University Hospitals NHS Trust,England,10,1-7,1-7,1,0,400,15,Yes,10,No,,>3.0 WTE,7,175,175,>3.0 WTE,8,200,200,>3.0 WTE,8,200,200,>3.0 WTE,14,350,350,1.1-3.0 WTE,3,63,63,0.1-1.0 WTE,1,25,25,1.1-3.0 WTE,2,50,50,>3.0 WTE,4,100,100,>3.0 WTE,15,375,375,>3.0 WTE,6,150,150,1.1-3.0 WTE,2,50,50,1.1-3.0 WTE,3,75,75,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Daily,All paediatric asthma patients,Ticked,Ticked,Unticked,Not known,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Not applicable - we have specialist advice on site,Yes,Both hospital and community-based teams,Yes,Hospital based team,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Not known,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1-2 times a year,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Payment by results,No
BAR,Barnsley District General Hospital,Barnsley Hospital NHS Foundation Trust,England,325,20,1-7,20,1,12,16,Yes,2,No,,1.1-3.0 WTE,3,15,75,>3.0 WTE,8,40,200,>3.0 WTE,8,38,188,>3.0 WTE,7,35,175,No WTE,0,0,0,0.1-1.0 WTE,1,5,25,1.1-3.0 WTE,3,13,63,0.1-1.0 WTE,1,4,20,No WTE,0,0,0,0.1-1.0 WTE,1,5,25,No WTE,0,0,0,0.1-1.0 WTE,1,5,25,No WTE,0,0,0,No WTE,0,No WTE,0,1.1-3.0 WTE,2,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Daily,All paediatric asthma patients,Unticked,Unticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Both hospital and community-based teams,Yes,Both hospital and community-based teams,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,Less than once a year,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Other,No
BAS,Basildon Hospital,Basildon and Thurrock University Hospitals NHS Foundation Trust,England,755,60,10,38,3,13,20,No,,No,,1.1-3.0 WTE,2,3,20,>3.0 WTE,11,18,110,>3.0 WTE,10,16,95,>3.0 WTE,13,22,130,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,1.1-3.0 WTE,2,3,20,0.1-1.0 WTE,1,2,10,0.1-1.0 WTE,1,2,10,No WTE,0,0,0,No WTE,0,1.1-3.0 WTE,3,1.1-3.0 WTE,2,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Twice daily,None,Unticked,Unticked,Unticked,No,Paediatric lead only,No,Yes - paediatric only,Yes,-,Yes,Yes,Hospital based team,Yes,Hospital based team,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,-,-,-,-,Yes,Yes - paediatric specific,Yes,Yes,No,Yes,Yes,No,Yes,No,-,Continuous (every patient),No,Yes,Yes,Yes,Yes,No,No,No,No,Payment via block contract,No
BAT,Royal United Hospital Bath,Royal United Hospitals Bath NHS Foundation Trust,England,345,35,1-7,12,1,12,28,Yes,3,No,,1.1-3.0 WTE,2,6,50,>3.0 WTE,4,11,100,>3.0 WTE,5,14,125,>3.0 WTE,12,34,300,No WTE,0,0,0,No WTE,0,0,0,1.1-3.0 WTE,2,6,50,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,3,25,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Twice daily,None,Unticked,Unticked,Ticked,No,No lead,-,-,No,Yes,-,Yes,Community based team,Yes,Hospital based team,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,-,-,-,-,Yes,Not known,Yes,Yes,No,Yes,Yes,No,Yes,No,-,Continuous (every patient),No,No,No,No,No,No,No,No,Yes,Payment by results,No
BCH,Birmingham Children's Hospital,Birmingham Women's and Children's NHS Foundation Trust,England,3550,665,175,25,5,49,140,Yes,6,Yes,30,1.1-3.0 WTE,3,1,2,1.1-3.0 WTE,2,0,1,>3.0 WTE,3,1,2,>3.0 WTE,12,2,7,>3.0 WTE,5,1,3,No WTE,0,0,0,1.1-3.0 WTE,2,0,1,>3.0 WTE,6,1,3,No WTE,0,0,0,>3.0 WTE,10,2,6,>3.0 WTE,23,4,13,>3.0 WTE,24,4,14,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,1.1-3.0 WTE,2,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,0.1-1.0 WTE,1,No WTE,0,Daily,Daily,All paediatric asthma patients,Ticked,Unticked,Unticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Not applicable - we have specialist advice on site,No,-,No,-,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes - paediatric specific,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Less than once a year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Payment by results,No
BED,Bedford Hospital,Bedford Hospital NHS Trust,England,280,40,15,18,3,54,16,Yes,1,No,,1.1-3.0 WTE,2,5,13,>3.0 WTE,6,15,40,1.1-3.0 WTE,2,5,13,>3.0 WTE,9,23,60,0.1-1.0 WTE,1,3,7,No WTE,0,0,0,0.1-1.0 WTE,1,3,7,0.1-1.0 WTE,1,3,7,No WTE,0,0,0,No WTE,0,0,0,1.1-3.0 WTE,3,8,20,0.1-1.0 WTE,1,3,7,No WTE,0,0,0,No WTE,0,0.1-1.0 WTE,1,1.1-3.0 WTE,2,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,All paediatric asthma patients,Unticked,Ticked,Unticked,No,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Not known,Not known,-,No,-,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes - combined adult and paediatric policy,Yes,Yes,Yes,Yes,Yes,No,No,No,-,Continuous (every patient),No,No,No,No,No,No,No,No,Yes,Locally negotiated tariff,No
BFH,Broomfield Chelmsford,Mid Essex Hospital Services NHS Trust,England,220,25,15,9,1,68,24,Yes,2,No,,1.1-3.0 WTE,2,8,13,>3.0 WTE,12,48,80,>3.0 WTE,8,32,53,>3.0 WTE,13,52,87,0.1-1.0 WTE,1,4,7,0.1-1.0 WTE,1,4,7,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,1.1-3.0 WTE,2,8,13,No WTE,0,0,0,No WTE,0,No WTE,0,>3.0 WTE,5,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,1.1-3.0 WTE,2,No WTE,0,No WTE,0,No WTE,0,Twice daily,Twice daily,None,Unticked,Unticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,No,Yes,No,Yes,Community based team,No,-,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,-,-,-,-,Yes,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,1-2 times a year,No,No,No,No,No,No,No,No,Yes,Other,No
